term_bits,size_bits,class,steps_run,size0,final_size,max_size,pos_delta_frac,hit_node_cap,period,first_recur_step,head_bits,head_k,head_count,chain_len,milestone_steps,milestone_arg_sizes,growth,ckpt_0_1k_5k_10k_20k,k0_frac,max_k,final_k,notes
01000110001100001011010000110110,32,ratchet-candidate,20000,15,521,1295,0.0071,0,0,0,0001011010000110110,1,141,64,1;3;7;13;21;31;43;57;73;91;111;133,10;13;16;19;22;25;28;31;34;37;40;43,linear(r2=0.317),15|296|581|632|521,0.0000,2,2,
010001011010100000011100101101010,33,blowup,48,16,1062912,1062912,0.5000,1,0,0,,0,0,0,,,n/a,16|0|0|0|0,0.9167,2,0,
010001101000011000000110011110110,33,opaque,20000,15,61224,61518,0.0100,0,0,0,,0,0,0,,,linear(r2=1.000),15|3369|15624|30513|61224,0.9998,1,0,
0100011010000001100101110110011010,34,monotone-growth,34,16,524310,524310,1.0000,1,0,0,,0,0,0,,,n/a,16|0|0|0|0,0.9412,1,0,
0100011010000001110000111001111010,34,opaque,20000,15,41324,41618,0.0100,0,0,0,,0,0,0,,,linear(r2=1.000),15|2379|10674|20643|41324,0.9999,1,0,
0100011010000001011010010111010110,34,monotone-growth,54,16,573088,573088,0.9815,1,0,0,,0,0,0,,,n/a,16|0|0|0|0,0.9630,1,0,
0100010110101000000111001011010110,34,monotone-growth,56,16,524288,524288,1.0000,1,0,0,,0,0,0,,,n/a,16|0|0|0|0,0.9286,2,0,
0100010110101000000111001011011010,34,monotone-growth,56,16,524288,524288,1.0000,1,0,0,,0,0,0,,,n/a,16|0|0|0|0,0.9286,2,0,
0100010110101000000111001011101010,34,monotone-growth,56,16,524288,524288,1.0000,1,0,0,,0,0,0,,,n/a,16|0|0|0|0,0.9286,2,0,
0100010110101000000101110100111010,34,head-recurrent-other,2135,16,500009,500009,1.0000,1,0,0,00000101110100111010,2,1067,2,1;5,9;19,linear(r2=0.972),16|160324|0|0|0,0.0000,1022,1021,argsz9->19/statesz29->59
0100010110011010100000011100110110,34,opaque,20000,16,106698,106701,0.5000,0,0,0,,0,0,0,,,linear(r2=1.000),16|5354|26698|53354|106698,0.9997,2,0,
0100010101101010100000011100110110,34,head-recurrent-other,20000,16,106690,106693,0.5000,0,0,0,0000011100110110,2,4,1,3;5,15;7,linear(r2=1.000),16|5354|26690|53354|106690,0.9996,3,0,argsz15->7/statesz31->39
0001000110001100001011010000110110,34,opaque,20000,16,522,1296,0.0071,0,0,0,,0,0,0,,,linear(r2=0.317),16|297|582|633|522,1.0000,0,0,
01000101100010100000011100101101010,35,blowup,51,17,1062912,1062912,0.4902,1,0,0,,0,0,0,,,n/a,17|0|0|0|0,0.8627,2,0,
01000110011010000001110011001110110,35,opaque,20000,16,400112,400115,0.5001,0,0,0,,0,0,0,,,linear(r2=1.000),16|20112|100112|200112|400112,0.9999,1,0,
01000101101010000001110011001110110,35,opaque,20000,16,400412,400415,0.5001,0,0,0,,0,0,0,,,linear(r2=1.000),16|20412|100412|200412|400412,0.9998,2,0,
01000101101010000001110011100110110,35,opaque,20000,16,316608,316611,0.6912,0,0,0,,0,0,0,,,linear(r2=1.000),16|16880|80256|159092|316608,0.9998,2,0,
01000101101010000001110011100111010,35,opaque,20000,16,39996,40018,0.1915,0,0,0,,0,0,0,,,linear(r2=0.997),16|4924|12276|21504|39996,0.9998,2,0,
01000101101010000001110010110110110,35,opaque,20000,16,300032,300035,0.5000,0,0,0,,0,0,0,,,linear(r2=1.000),16|15032|75032|150032|300032,0.9998,2,0,
01000101101010000001110010111010110,35,opaque,20000,16,300032,300035,0.5000,0,0,0,,0,0,0,,,linear(r2=1.000),16|15032|75032|150032|300032,0.9998,2,0,
01000101101010000001011010000110110,35,ratchet-candidate,20000,17,524,1295,0.0071,0,0,0,0001011010000110110,1,141,64,2;4;8;14;22;32;44;58;74;92;112;134,10;13;16;19;22;25;28;31;34;37;40;43,linear(r2=0.317),17|299|584|635|524,0.0000,2,2,
01000110100000011001011101100110110,35,monotone-growth,577,16,500011,500011,1.0000,1,0,0,,0,0,0,,,n/a,16|0|0|0|0,0.9965,1,0,
01000110100000011001011101100111010,35,monotone-growth,577,16,502279,502279,0.9983,1,0,0,,0,0,0,,,n/a,16|0|0|0|0,0.9965,1,0,
01000110100000010111001011010110110,35,monotone-growth,51,16,573077,573077,1.0000,1,0,0,,0,0,0,,,n/a,16|0|0|0|0,0.9608,1,0,
01000110100001100001011000100111010,35,head-recurrent-other,20000,17,83727,83769,0.0352,0,0,0,0010,48,12751,1,488;511,71;10,linear(r2=1.000),17|4431|21329|41895|83727,0.0000,679,679,argsz71->10/statesz2324->2263
01000110100001100001011000001111010,35,ratchet-candidate,20000,16,2510,2846,0.5026,0,0,0,000101100000000101100000000101100000000101100000000101100000000101100000000101100000000101100000000101100000000101100000000101100000000101100000000101100000000101100000000101100000000101100000000101100000000101100000000101100000000101100000000101100000000101100000000101100000000101100000000101100000000101100000000101100000000101100000000101100000000101100000000101100000000110000101100000111101010101010101010101010101010101010101010101010101010101010101010,1,69,64,1893;2022;2155;2292;2433;2578;2727;2880;3037;3198;3363;3532,235;242;249;256;263;270;277;284;291;298;305;312,linear(r2=0.714),16|247|646|541|2510,0.0000,3,3,
01000110100001100001010110001011010,35,ratchet-candidate,20000,17,274,577,0.0262,0,0,0,0001100001010110001011010,1,23,23,1;2;20;64;143;266;442;680;989;1378;1856;2432,12;20;28;36;44;52;60;68;76;84;92;100,linear(r2=0.459),17|217|311|391|274,0.0000,6,6,
01000110100001100110000001100111010,35,head-recurrent-other,3654,17,500310,500310,0.5060,1,0,0,000001100111010,68,1805,3,335;345,7;108,linear(r2=0.967),17|69192|0|0|0,0.0000,844,843,argsz7->108/statesz12930->13358
01000110100001011000100001100111010,35,head-recurrent-other,6069,17,500020,500020,0.2974,1,0,0,0010,58,3403,3,397;436,89;97,linear(r2=0.973),17|33801|370999|0|0,0.0000,862,861,argsz89->97/statesz9378->9758
01000110100001011000000110011101010,35,head-recurrent-other,5554,17,500204,500204,0.5061,1,0,0,000001100111010,60,2743,3,324;334,7;68,linear(r2=0.972),17|38212|427975|0|0,0.0000,1077,1076,argsz7->68/statesz7172->7440
01000110100100011010000001100111010,35,head-recurrent-other,3499,17,500070,500070,0.5061,1,0,0,000001100111010,2,1728,3,2;9,7;20,linear(r2=0.971),17|77286|0|0|0,0.0000,844,843,argsz7->20/statesz28->70
01000110100100011010000001110011010,35,blowup,90,17,524314,524314,0.5889,1,0,0,,0,0,0,,,n/a,17|0|0|0|0,0.9444,2,0,
01000110011000000110011101000011010,35,head-recurrent-other,3500,17,500070,500070,0.5060,1,0,0,000001100111010,2,1728,3,3;10,7;20,linear(r2=0.971),17|77094|0|0|0,0.0000,844,843,argsz7->20/statesz28->70
01000110011000000111001101000011010,35,blowup,91,17,524314,524314,0.5824,1,0,0,,0,0,0,,,n/a,17|0|0|0|0,0.9341,2,0,
00010001011010100000011100101101010,35,blowup,48,17,1062913,1062913,0.5000,1,0,0,,0,0,0,,,n/a,17|0|0|0|0,1.0000,0,0,
00010001101000011000000110011110110,35,opaque,20000,16,61225,61519,0.0100,0,0,0,,0,0,0,,,linear(r2=1.000),16|3370|15625|30514|61225,1.0000,0,0,
000100010110011010100000011100110110,36,opaque,20000,17,106699,106702,0.5000,0,0,0,,0,0,0,,,linear(r2=1.000),17|5355|26699|53355|106699,1.0000,0,0,
000100010101101010100000011100110110,36,opaque,20000,17,106691,106694,0.5000,0,0,0,,0,0,0,,,linear(r2=1.000),17|5355|26691|53355|106691,1.0000,0,0,
000100011010000001100101110110011010,36,monotone-growth,34,17,524311,524311,1.0000,1,0,0,,0,0,0,,,n/a,17|0|0|0|0,1.0000,0,0,
000100011010000001110000111001111010,36,opaque,20000,16,41325,41619,0.0100,0,0,0,,0,0,0,,,linear(r2=1.000),16|2380|10675|20644|41325,1.0000,0,0,
000100011010000001011010010111010110,36,monotone-growth,54,17,573089,573089,0.9815,1,0,0,,0,0,0,,,n/a,17|0|0|0|0,1.0000,0,0,
000100010110110100000011100101101010,36,blowup,50,17,1062915,1062915,0.5000,1,0,0,,0,0,0,,,n/a,17|0|0|0|0,1.0000,0,0,
010000011100011100001011010000110110,36,opaque,20000,16,522,1296,0.0071,0,0,0,,0,0,0,,,linear(r2=0.317),16|297|582|633|522,1.0000,1,0,
000001000110001100001011010000110110,36,opaque,20000,17,523,1297,0.0071,0,0,0,,0,0,0,,,linear(r2=0.317),17|298|583|634|523,1.0000,0,0,
010001011000110100001011010000110110,36,ratchet-candidate,20000,17,531,1305,0.0071,0,0,0,0001011010000110110,2,141,64,1;3;7;13;21;31;43;57;73;91;111;133,10;13;16;19;22;25;28;31;34;37;40;43,linear(r2=0.318),17|306|591|642|531,0.0000,3,3,
000100010110101000000111001011010110,36,monotone-growth,56,17,524289,524289,1.0000,1,0,0,,0,0,0,,,n/a,17|0|0|0|0,1.0000,0,0,
000100010110101000000111001011011010,36,monotone-growth,56,17,524289,524289,1.0000,1,0,0,,0,0,0,,,n/a,17|0|0|0|0,1.0000,0,0,
000100010110101000000111001011101010,36,monotone-growth,56,17,524289,524289,1.0000,1,0,0,,0,0,0,,,n/a,17|0|0|0|0,1.0000,0,0,
000100010110101000000101110100111010,36,monotone-growth,2135,17,500010,500010,1.0000,1,0,0,,0,0,0,,,linear(r2=0.972),17|160325|0|0|0,1.0000,0,0,
010001101000000110010111011001100010,36,monotone-growth,1154,17,501441,501441,0.9991,1,0,0,,0,0,0,,,n/a,17|376778|0|0|0,0.9983,1,0,
010001101000000111001100101110110110,36,blowup,11903,16,500033,500033,0.5002,1,0,0,,0,0,0,,,linear(r2=1.000),16|42014|210074|420014|0,0.9998,1,0,
010001101000000101110011011001110110,36,blowup,663,16,502013,502013,0.5023,1,0,0,,0,0,0,,,n/a,16|0|0|0|0,0.9970,1,0,
010001101000000101011100010110011010,36,blowup,121,17,524317,524317,0.4298,1,0,0,,0,0,0,,,n/a,17|0|0|0|0,0.9835,1,0,
010001101000011000011001110011000110,36,head-recurrent-other,138,17,555034,555034,0.6087,1,0,0,BIG:2246,13,31,2,75;115,2247;2247,n/a,17|0|0|0|0,0.0000,15,12,argsz2247->2247/statesz134324->199527
010001101000011000011001011000111010,36,head-recurrent-other,1866,17,501097,501097,0.7546,1,0,0,,0,59,0,,,n/a,17|202665|0|0|0,0.0000,460,459,head-not-lam
010001101000011000010110011000111010,36,head-recurrent-other,478,17,630479,630479,0.5397,1,0,0,00011000010110011000111010,24,156,2,407;474,13;21,n/a,17|0|0|0|0,0.0000,26,24,argsz13->21/statesz270075->270091
010001101000011001100000011001111010,36,head-recurrent-other,1089,17,500086,500086,0.5464,1,0,0,00011001100000011001111010,22,100,2,248;386,18;2425,n/a,17|407444|0|0|0,0.0000,55,46,argsz18->2425/statesz19154->40934
010001101000011001100000011100110110,36,opaque,20000,17,106711,106714,0.5001,0,0,0,,0,0,0,,,linear(r2=1.000),17|5391|26711|53391|106711,0.9996,2,0,
010001101000011001100000011100111010,36,opaque,20000,17,44245,44258,0.3408,0,0,0,,0,0,0,,,linear(r2=0.555),17|28450|34231|37463|44245,0.9996,2,0,
010001101000011001100110000110001110,36,head-recurrent-other,20000,17,13155,15483,0.3004,0,0,0,00011001100110000110001110,13,6009,2,844;19976,13;13,linear(r2=0.736),17|3326|6463|14253|13155,0.0000,20,11,argsz13->13/statesz3521->13217
010001101000011001011001011000101010,36,head-recurrent-other,20000,18,368238,382315,0.1438,0,0,0,0010,30,17124,2,1698;19990,8;2,linear(r2=0.937),18|22962|91454|183694|368238,0.0000,43,29,argsz8->2/statesz47316->368264
010001101000010001101001011000001010,36,ratchet-candidate,20000,18,50446,73725,0.1676,0,0,0,00011010,1,12,12,0;2;10;30;74;166;354;734;1498;3030;6098;12238,13;31;67;139;283;571;1147;2299;4603;9211;18427;36859,linear(r2=0.745),18|3806|12518|25154|50446,0.0000,25,14,
010001101000010110001100101101000110,36,head-recurrent-other,2002,17,639626,639626,0.2557,1,0,0,00010110001100101101000110,12,511,2,230;1976,14;14,linear(r2=0.893),17|196711|0|0|0,0.0000,17,9,argsz14->14/statesz21821->246180
010001101000010001110011010011000110,36,head-recurrent-other,12261,17,515803,515803,0.6679,1,0,0,00010001110011010011000110,15,4094,2,749;12214,13;13,linear(r2=0.945),17|31038|148359|296988|0,0.0000,21,11,argsz13->13/statesz31987->286656
010001101000010110011000110000110110,36,ratchet-candidate,20000,17,622,1828,0.0072,0,0,0,00010110011000110000110110,4,140,64,3;5;11;19;29;41;55;71;89;109;131;155,13;16;19;22;25;28;31;34;37;40;43;46,linear(r2=0.324),17|397|682|733|622,0.0000,6,5,
010001101000010000011100110110011010,36,opaque,20000,17,173373,173373,0.6667,0,0,0,,0,0,0,,,linear(r2=1.000),17|8694|43373|86694|173373,0.9999,1,0,
010001101000010000011100111010011010,36,opaque,20000,17,173373,173373,0.6667,0,0,0,,0,0,0,,,linear(r2=1.000),17|8694|43373|86694|173373,0.9999,1,0,
010001101000010001110010110101000110,36,ratchet-candidate,2028,17,570811,570811,0.5049,1,0,0,00010001110010110101000110,1,10,10,1;3;9;23;53;115;241;495;1005;2027,12;41;128;389;1172;3521;10568;31709;95132;285401,linear(r2=0.964),17|95307|0|0|0,0.0000,10,1,
010001101000010001011010011101000110,36,ratchet-candidate,20000,17,159331,229374,0.5003,0,0,0,00010001011010011101000110,1,13,13,1;4;11;26;57;120;247;502;1013;2036;4083;8178,12;26;54;110;222;446;894;1790;3582;7166;14334;28670,linear(r2=0.787),17|3751|39845|79673|159331,0.0000,14,7,
010001101000010110011001100011000110,36,head-recurrent-other,20000,17,63439,66969,0.4006,0,0,0,00010110011001100011000110,29,8011,2,5451;19997,27;56,linear(r2=0.935),17|7674|25248|31140|63439,0.0000,35,30,argsz27->56/statesz32014->63454
010001101000010110000001110011011010,36,head-recurrent-other,20000,17,106714,106714,0.5001,0,0,0,0000011100110110,2,4,1,5;7,15;7,linear(r2=1.000),17|5394|26714|53394|106714,0.9995,3,0,argsz15->7/statesz36->44
010001101000010110000110011000111010,36,head-recurrent-other,20000,17,275904,368291,0.5009,0,0,0,00010110000110011000111010,19,3339,2,1555;19972,19;619,linear(r2=0.843),17|18642|68746|137814|275904,0.0000,26,21,argsz19->619/statesz40541->275458
010001101000010110011001100000111010,36,head-recurrent-other,12240,17,552580,552580,0.3346,1,0,0,00010110011001100000111010,34,4095,2,1500;12239,14;30717,linear(r2=0.950),17|32924|220201|440925|0,0.0000,45,34,argsz14->30717/statesz68788->429719
010001101000010110011001011000101010,36,head-recurrent-other,20000,18,298794,312871,0.1438,0,0,0,0010,40,17124,2,2587;19996,11;2,linear(r2=0.945),18|18750|74210|149054|298794,0.0000,54,40,argsz11->2/statesz62685->298806
010001011010100000011001011000111010,36,opaque,20000,17,60023,60029,0.3333,0,0,0,,0,0,0,,,linear(r2=1.000),17|3029|15023|30029|60023,0.9998,2,0,
010001011010100000010110110000110110,36,head-recurrent-other,20000,17,929,1517,0.0100,0,0,0,0000010110110000110110,2,199,2,1;19802,10;304,linear(r2=0.706),17|269|479|914|929,0.0000,2,2,argsz10->304/statesz32->920
010001011010100000010111010000110110,36,head-recurrent-other,20000,17,929,1520,0.0100,0,0,0,0000010111010000110110,2,199,2,1;19801,10;307,linear(r2=0.706),17|269|479|914|929,0.0000,2,2,argsz10->307/statesz32->923
010001011010100000010101101000111010,36,ratchet-candidate,20000,17,6723,6723,0.3334,0,0,0,0000010101101000111010,3,6666,64,3;6;9;12;15;18;21;24;27;30;33;36,10;11;12;13;14;15;16;17;18;19;20;21,linear(r2=1.000),17|373|1723|3373|6723,0.0000,4,4,
010001100011000010101101000011011010,36,head-recurrent-other,20000,17,31970,32744,0.0071,0,0,0,0001100000010101101000011011010,23,278,1,460;461,15;12,linear(r2=0.999),17|2206|8965|16788|31970,0.0000,143,143,argsz15->12/statesz1010->1007
010001100110001100001011010000110110,36,ratchet-candidate,20000,17,569,1340,0.0072,0,0,0,0001011010000110110,3,141,64,2;4;8;14;22;32;44;58;74;92;112;134,10;13;16;19;22;25;28;31;34;37;40;43,linear(r2=0.321),17|344|629|680|569,0.0000,4,4,
0100000111011000011000000110011110110,37,opaque,20000,16,61225,61519,0.0100,0,0,0,,0,0,0,,,linear(r2=1.000),16|3370|15625|30514|61225,1.0000,1,0,
0100000101110101100000011100101101010,37,blowup,50,17,1062915,1062915,0.5000,1,0,0,,0,0,0,,,n/a,17|0|0|0|0,0.9800,1,0,
0001000101100010100000011100101101010,37,blowup,51,18,1062913,1062913,0.4902,1,0,0,,0,0,0,,,n/a,18|0|0|0|0,1.0000,0,0,
0101000110100000011100110011101100010,37,opaque,20000,17,400053,400053,0.5000,0,0,0,,0,0,0,,,linear(r2=1.000),17|20053|100053|200053|400053,0.9998,2,0,
0001000110011000000110011101000011010,37,blowup,3500,18,500071,500071,0.5060,1,0,0,,0,0,0,,,linear(r2=0.971),18|77095|0|0|0,1.0000,0,0,
0001000110011000000111001101000011010,37,blowup,91,18,524315,524315,0.5824,1,0,0,,0,0,0,,,n/a,18|0|0|0|0,1.0000,0,0,
0100011001101000000110010111011000110,37,opaque,20000,17,6490,8008,0.6706,0,0,0,,0,0,0,,,linear(r2=0.675),17|883|1987|2924|6490,0.9999,1,0,
0100011001101000011000000110011110110,37,opaque,20000,17,1255,2428,0.0101,0,0,0,,0,0,0,,,linear(r2=0.678),17|505|655|1153|1255,0.9997,2,0,
0100011001101000011000000101101101110,37,ratchet-candidate,20000,17,1444,2161,0.0073,0,0,0,000001011011000000101101100000010110110000001011011000000101101100000010110110000001011011000011000000101101101110,3,133,64,228;264;295;334;369;412;451;498;541;592;639;694,100;112;118;124;130;136;142;148;154;160;166;172,linear(r2=0.736),17|364|1084|1309|1444,0.0000,3,2,
0001000110100000011001011101100110110,37,monotone-growth,577,17,500012,500012,1.0000,1,0,0,,0,0,0,,,n/a,17|0|0|0|0,1.0000,0,0,
0001000110100000011001011101100111010,37,monotone-growth,577,17,502280,502280,0.9983,1,0,0,,0,0,0,,,n/a,17|0|0|0|0,1.0000,0,0,
0001000110100000010111001011010110110,37,monotone-growth,51,17,573078,573078,1.0000,1,0,0,,0,0,0,,,n/a,17|0|0|0|0,1.0000,0,0,
0001000110100001100001011011100111010,37,opaque,20000,17,82561,82648,0.0375,0,0,0,,0,0,0,,,linear(r2=1.000),17|4436|21091|41780|82561,1.0000,0,0,
0001000110100001100001011000100111010,37,opaque,20000,18,83728,83770,0.0352,0,0,0,,0,0,0,,,linear(r2=1.000),18|4432|21330|41896|83728,1.0000,0,0,
0001000110100001100001011000001111010,37,opaque,20000,17,2511,2847,0.5026,0,0,0,,0,0,0,,,linear(r2=0.714),17|248|647|542|2511,1.0000,0,0,
0001000110100001100001011110011101010,37,monotone-growth,1763,17,500111,500111,1.0000,1,0,0,,0,0,0,,,n/a,17|215127|0|0|0,1.0000,0,0,
0001000110100001100001010110001011010,37,opaque,20000,18,275,578,0.0262,0,0,0,,0,0,0,,,linear(r2=0.459),18|218|312|392|275,1.0000,0,0,
0001000110100001100110000001100111010,37,blowup,3654,18,500311,500311,0.5060,1,0,0,,0,0,0,,,linear(r2=0.967),18|69193|0|0|0,1.0000,0,0,
0001000110100001011000100001100111010,37,blowup,6069,18,500021,500021,0.2974,1,0,0,,0,0,0,,,linear(r2=0.973),18|33802|371000|0|0,1.0000,0,0,
0001000110100001011000000110011101010,37,blowup,5554,18,500205,500205,0.5061,1,0,0,,0,0,0,,,linear(r2=0.972),18|38213|427976|0|0,1.0000,0,0,
0001000110100100011010000001100111010,37,blowup,3499,18,500071,500071,0.5061,1,0,0,,0,0,0,,,linear(r2=0.971),18|77287|0|0|0,1.0000,0,0,
0001000110100100011010000001110011010,37,blowup,90,18,524315,524315,0.5889,1,0,0,,0,0,0,,,n/a,18|0|0|0|0,1.0000,0,0,
0100011001011010100000011100101101010,37,blowup,46,18,1062912,1062912,0.5000,1,0,0,,0,0,0,,,n/a,18|0|0|0|0,0.9565,1,0,
0100010110100101101010000001100111010,37,head-recurrent-other,3501,18,500087,500087,0.5001,1,0,0,000001100111010,80,1750,3,355;365,7;119,linear(r2=0.971),18|77660|0|0|0,0.0000,836,835,argsz7->119/statesz16951->17423
0100010110100010000001110011001110110,37,opaque,20000,17,400053,400053,0.5000,0,0,0,,0,0,0,,,linear(r2=1.000),17|20053|100053|200053|400053,0.9998,2,0,
0100011000011100101100000101000011010,37,ratchet-candidate,20000,18,50451,73725,0.1676,0,0,0,00011010,1,12,12,1;3;11;31;75;167;355;735;1499;3031;6099;12239,13;31;67;139;283;571;1147;2299;4603;9211;18427;36859,linear(r2=0.745),18|3807|12519|25155|50451,0.0000,25,15,
0100011001100000011100111101000011010,37,opaque,20000,17,16705,16705,0.3335,0,0,0,,0,0,0,,,linear(r2=1.000),17|864|4205|8364|16705,0.9997,2,0,
0100011001100000011110011101000011010,37,head-recurrent-other,3094,17,500582,500582,0.3432,1,0,0,00011010,2,1061,3,2;15,10;64,linear(r2=0.968),17|89098|0|0|0,0.0000,973,972,argsz10->64/statesz31->112
0100010110011010100000011001011101010,37,opaque,20000,18,99818,99818,0.4994,0,0,0,,0,0,0,,,linear(r2=1.000),18|4898|24850|49834|99818,0.9998,2,0,
0100010110011010100000011100101101010,37,blowup,42,18,590556,590556,0.5000,1,0,0,,0,0,0,,,n/a,18|0|0|0|0,0.8571,2,0,
0100010101101010100000011001011101010,37,opaque,20000,18,99834,99834,0.4994,0,0,0,,0,0,0,,,linear(r2=1.000),18|4914|24866|49850|99834,0.9997,3,0,
0100010101101010100000011100101101010,37,ratchet-candidate,41,18,590519,590519,0.5122,1,0,0,000101010000011100101101010000001110010110101000000111001011010100101101010,1,10,10,4;8;12;16;20;24;28;32;36;40,9;29;89;269;809;2429;7289;21869;65609;196829,n/a,18|0|0|0|0,0.0000,3,1,
0100011000110000001011101100001101110,37,opaque,20000,16,665,1439,0.0071,0,0,0,,0,0,0,,,linear(r2=0.418),16|331|655|735|665,0.9999,1,0,
0100011010000001100111000000111110110,37,opaque,20000,16,21626,21920,0.0100,0,0,0,,0,0,0,,,linear(r2=0.999),16|1436|5826|10916|21626,0.9999,1,0,
0100011010000001100101110110000110110,37,blowup,1732,17,501449,501449,0.6669,1,0,0,,0,0,0,,,n/a,17|167535|0|0|0,0.9988,1,0,
0100011010000001100101110110011000110,37,monotone-growth,34,17,786437,786437,1.0000,1,0,0,,0,0,0,,,n/a,17|0|0|0|0,0.9412,1,0,
0100011010000001110000001100111110110,37,opaque,20000,16,61426,61720,0.0100,0,0,0,,0,0,0,,,linear(r2=1.000),16|3416|15726|30656|61426,0.9999,1,0,
